candidate_id,paper_or_dataset,source_url,local_path,sha256,contrast_or_sheet,status,exclusion_category,pipeline,species,cell_system,hypoxia_modality,n_ctrl,n_treat,n_genes_reported,gene_column,lfc_column,p_column,padj_column,notes
HYP009,GSE132624 501mel 24h,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132624/suppl/GSE132624_edgeR_501mel_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz,data/deg/raw/iter6/GSE132624_edgeR_501mel_24h.csv.gz,f278cf9bf7a5def02f8df0b952f60246d4a771a34a73edfe9e2ea468da2ed32e,501mel 1% O2 24h relative to 0h,active,none,edgeR_QLF,Homo sapiens,501mel melanoma,1% O2 24 h,3,3,13628,Unnamed: 0,logFC,PValue,FDR,"GEO-deposited full/near-full edgeR QLF table from MITF melanoma hypoxia study; used as a 24 h representative for 501mel."
HYP010,GSE132624 IGR37 24h,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132624/suppl/GSE132624_edgeR_IGR37_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz,data/deg/raw/iter6/GSE132624_edgeR_IGR37_24h.csv.gz,eb33e20d8e6d8af2fd143d2908d00499fc45326acd6276ba7c86982172fd24b4,IGR37 1% O2 24h relative to 0h,active,none,edgeR_QLF,Homo sapiens,IGR37 melanoma,1% O2 24 h,3,3,12739,Unnamed: 0,logFC,PValue,FDR,"GEO-deposited full/near-full edgeR QLF table from MITF melanoma hypoxia study."
HYP011,GSE132624 IGR39 24h,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132624/suppl/GSE132624_edgeR_IGR39_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz,data/deg/raw/iter6/GSE132624_edgeR_IGR39_24h.csv.gz,1bbc1fc5150faf9fad35618dda2ab1bf496f9c090b334ca0c87306c8fdbbdebc,IGR39 1% O2 24h relative to 0h,active,none,edgeR_QLF,Homo sapiens,IGR39 melanoma,1% O2 24 h,3,3,13087,Unnamed: 0,logFC,PValue,FDR,"GEO-deposited full/near-full edgeR QLF table from MITF melanoma hypoxia study."
ITER6-C01,GSE132624 501mel 12h,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132624/suppl/GSE132624_edgeR_501mel_DMEM_1_O2_12h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz,data/deg/raw/iter6/GSE132624_edgeR_501mel_12h.csv.gz,9c5fb148579bb926b633ca7a7bb37f418b26623665788587e174df3ef1580ac6,501mel 1% O2 12h relative to 0h,deferred,source_family_overweighting_guard,edgeR_QLF,Homo sapiens,501mel melanoma,1% O2 12 h,3,3,13628,Unnamed: 0,logFC,PValue,FDR,"Eligible table but withheld this iteration to avoid adding both 12 h and 24 h from the same cell line before source-family collapse rules are finalized."
ITER6-C02,GSE108676 Human gene expression diff,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108676/suppl/GSE108676_Human_gene_exp.diff.gz,data/deg/raw/iter6/GSE108676_Human_gene_exp.diff.gz,34e4dfe64a60422e87438e04b124d7badc62396ce0bf54f318ebc9acc91aed52,Normoxia vs Hypoxia cuffdiff-like output,deferred,missing_gene_symbol_mapping,cuffdiff,Homo sapiens,not resolved,hypoxia versus normoxia,,,27721,gene,log2.fold_change.,p_value,q_value,"Full diff table but gene identifiers are RefSeq transcript IDs rather than stable gene symbols; defer until a transcript-to-gene mapping path is implemented and audited."
ITER6-C03,GSE108833 DifferentialExpression FPKM,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE108nnn/GSE108833/suppl/GSE108833_DifferentialExpression_FPKM.txt.gz,data/deg/raw/iter6/GSE108833_DifferentialExpression_FPKM.txt.gz,04bf0e687a857a86713ed1c47cf87213db07ef92a68031f7c4ecb2c076a6f254,FPKM expression matrix,excluded,expression_only,FPKM,Homo sapiens,not resolved,1% O2 versus 20% O2,,,19613,GENE_NAME,,,,"Expression matrix lacks per-gene hypoxia-vs-control DE statistics."
ITER6-C04,GSE298138 RNAseq data,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE298nnn/GSE298138/suppl/GSE298138_RNAseq_data.xlsx,data/deg/raw/iter6/GSE298138_RNAseq_data.xlsx,76dc555fa1686312c25ec5c4c461b37472afa9c8e3ef5e9be4e82f0fb1033c17,Sheet1 hypoxia-control DEG heatmap,excluded,reported_gene_universe_lt_10000,not resolved,Mus musculus,MLO-Y4 osteocyte-like cells,hypoxia versus control,3,3,2066,Symbol,log2 Fold Change,Adj.Pval,Adj.Pval,"Supplementary DEG sheet appears filtered/significant-only; below the near-full-universe threshold."
ITER6-C05,GSE291655 AII expression,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE291nnn/GSE291655/suppl/GSE291655_AII_expression.xlsx,data/deg/raw/iter6/GSE291655_AII_expression.xlsx,fe2f42d9fe97d595aa77526b5ba6f916b271dc13c7a3a8c1547f2449f8761663,expression/count table,excluded,expression_only,expression_matrix,Homo sapiens,not resolved,not resolved,,,23081,gene_name,,,,"Processed table contains counts/FPKM and annotations but no contrast-level DE statistics."
ITER6-C06,GSE313740 high-altitude processed data,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE313nnn/GSE313740/suppl/GSE313740_processed_dataxGEO_14dic25.xlsx,data/deg/raw/iter6/GSE313740_processed_dataxGEO_14dic25.xlsx,fee8056af91eaf60c5dd433ac7726e900a2bc821ab31cea95f0437e75ebb9903,Foglio2 multi-timepoint high-altitude contrasts,deferred,metadata_direction_unclear,not resolved,Homo sapiens,not resolved,simulated high-altitude hypoxia,,,13322,NAME,multiple logFC columns,multiple p-value columns,multiple adjusted-p columns,"Near-full table with multiple timepoint contrasts, but contrast direction and biological mapping require metadata audit before active inclusion."
ITER6-C07,GSE327855 all genes expression annotation,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE327nnn/GSE327855/suppl/GSE327855_all.genes.expression.annot.txt.gz,data/deg/raw/iter6/GSE327855_all.genes.expression.annot.txt.gz,2a88138421d85d3ea489bc224a7a53d84badb04f2b21f83e61ce9907e48ac4d8,hypoxia and hypoxia-OE expression table,excluded,expression_only,expression_matrix,Homo sapiens,not resolved,hypoxia-only and hypoxia-OE samples,,,20307,Symbol,,,,"Expression/count table lacks normoxic controls and DE statistics for a hypoxia-vs-normoxia contrast."
ITER6-C08,GSE316921 processed count data,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE316nnn/GSE316921/suppl/GSE316921_processed_data.csv.gz,data/deg/raw/iter6/GSE316921_processed_data.csv.gz,43217e4523f2cbe890c0c99e9a12d7bb62a279c828e34c2c186d43cf29df79d2,CAF control/hypoxia raw counts,excluded,raw_counts_only,raw_counts,Homo sapiens,cancer-associated fibroblasts,hypoxia versus control under knockdown,3,3,36242,Unnamed: 0,,,,"Raw count matrix may support a future V2 reanalysis but has no as-deposited DE statistics for S0."
ITER6-C09,GSE325653 raw counts workbook,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE325nnn/GSE325653/suppl/GSE325653_raw_counts.xlsx,data/deg/raw/iter6/GSE325653_raw_counts.xlsx,8f573c38e361b50bf1fb84e69726a96f3ce2953bede5a57840bd5446db02ccfd,laser versus hypoxia DESeq2 table,excluded,not_hypoxia_vs_normoxia,DESeq2,Mus musculus,not resolved,laser treatment under hypoxia versus hypoxia control,5,5,15914,gene_id,log2FoldChange,p-value,q-value,"Despite the filename, the DE columns compare laser-treated hypoxia samples against hypoxia controls rather than hypoxia against normoxia."
ITER6-C10,Wasik et al. 2021 IJMS BM-MSC table 1,https://pub.mdpi-res.com/ijms/ijms-22-08160/article_deploy/ijms-22-08160-s001.zip,data/deg/raw/iter6/ijms-22-08160-s001/Supplementary files/Supplementary Table 1.xlsx,6a39f240bac0b0857483b7d8b187ab06345b232ad8507e4b97b026853c62c2e2,2% O2 hypoxia versus control,excluded,reported_gene_universe_lt_10000,not resolved,Homo sapiens,bone marrow mesenchymal stromal cells,2% O2 48 h,,,253,not resolved,not resolved,not resolved,not resolved,"Hypoxia-vs-control supplement is significant-only/top-hit scale and below the near-full-universe threshold."
