gene_symbol,expected_direction,evidence_class,locked,evidence_basis,notes
HSPA5,up,core_chaperone,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
HSP90B1,up,core_chaperone,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
DNAJB9,up,ERAD_chaperone,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
HERPUD1,up,ERAD,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
DDIT3,up,PERK_ATF4_CHOP,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
ATF4,up,PERK_ATF4_CHOP,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
ATF3,up,integrated_stress_response,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
PPP1R15A,up,integrated_stress_response,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
CHAC1,up,integrated_stress_response,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
ASNS,up,amino_acid_stress_response,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
PDIA4,up,protein_folding,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
EDEM1,up,ERAD,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
SEL1L,up,ERAD,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
DERL3,up,ERAD,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
MANF,up,ER_stress_secreted_factor,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
TRIB3,up,integrated_stress_response,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
DDIT4,up,stress_response,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
XBP1,up,IRE1_XBP1_axis,yes,"Pre-output ER stress/UPR sentinel panel centered on Hallmark UPR and canonical PERK/ATF4, IRE1/XBP1, chaperone, and ERAD transcriptional response genes.",Locked before ER stress DEGORA or baseline scoring; used only for recall/prioritization diagnostics.
