gene_symbol,expected_direction,evidence_class,locked,evidence_basis,notes
HSPA5,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DDIT3,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ATF4,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ATF3,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HERPUD1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
TRIB3,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DDIT4,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ASNS,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CHAC1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PPP1R15A,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
