gene_symbol,expected_direction,evidence_class,locked,evidence_basis,notes
HSPA1A,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPA1B,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPA1L,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPA6,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPA4L,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPH1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPD1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPE1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSP90AA1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSP90AB1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPB1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPB8,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SERPINH1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJB1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJA1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJB4,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJB6,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJA4,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
BAG3,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
BAG2,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
STIP1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
FKBP4,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CHORDC1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
AHSA1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPA4,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJC7,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSPA8,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PTGES3,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CRYAB,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
BAG1,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
UBB,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
UBC,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ZFAND2A,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Heat shock / HSF1 extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
