gene_symbol,panel_role,expected_direction,locked_at_utc,evidence_basis,notes
SLC2A1,glycolysis_glucose_transport,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Canonical hypoxia-induced glucose transporter.
HK1,glycolysis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Hexokinase glycolytic response marker.
HK2,glycolysis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Hexokinase glycolytic response marker.
PFKL,glycolysis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Phosphofructokinase glycolytic response marker.
ALDOA,glycolysis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Aldolase glycolytic response marker.
ENO1,glycolysis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Enolase glycolytic response marker.
PGK1,glycolysis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Phosphoglycerate kinase glycolytic response marker.
LDHA,glycolysis_lactate,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Lactate dehydrogenase hypoxic glycolysis marker.
PDK1,metabolic_switch,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Pyruvate dehydrogenase kinase hypoxic metabolic switch marker.
VEGFA,angiogenesis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Canonical hypoxia-induced angiogenic factor.
ANGPT2,angiogenesis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Angiopoietin hypoxia/vascular response marker.
FLT1,angiogenesis,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",VEGF receptor hypoxia/vascular response marker.
EPO,erythropoietic_hypoxia_response,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Canonical oxygen-sensing erythropoietin response gene.
CA9,pH_regulation,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Canonical hypoxia-induced carbonic anhydrase.
SLC2A3,glycolysis_glucose_transport,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Hypoxia-responsive glucose transporter.
BNIP3,autophagy_cell_death,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Hypoxia-induced autophagy/cell death marker.
BNIP3L,autophagy_cell_death,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Hypoxia-induced BNIP3-family marker.
DDIT4,mtor_stress_response,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",Hypoxia-induced stress/mTOR response marker.
EGLN1,hif_feedback,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",HIF prolyl hydroxylase feedback marker.
EGLN3,hif_feedback,up,2026-05-28T09:30:00Z,"Compact HIF/hypoxia panel derived before this benchmark refresh from the existing locked HIF1A_UP_TARGETS panel and MSigDB HALLMARK_HYPOXIA.",HIF prolyl hydroxylase feedback marker.
