# DEGORA gene-symbol retirement table
# source	https://storage.googleapis.com/public-download-files/hgnc/tsv/tsv/hgnc_complete_set.txt
# snapshot_date	2026-09-02
# source_sha256	854162118530e929f06249f3349465dd5fe0515fcccf0347f463e833609c1270
# rule	unambiguous HGNC prev_symbol -> approved symbol; a previous symbol that is itself an approved symbol, names more than one approved symbol, is accession- or number-shaped, belongs to an Excel date-damage family, or is a token whose non-gene meaning dominates in a spreadsheet is not listed
# counts	approved_records=45045; previous_symbols_seen=15746; dropped_symbol_reused_as_current=230; dropped_ambiguous_target=84; dropped_not_a_symbol_token=2; dropped_excel_date_family=29; dropped_non_gene_token=3; kept=15398
previous_symbol	current_symbol
A1BG-AS	A1BG-AS1
A1BGAS	A1BG-AS1
A1S9T	UBA1
A26A1	POTEA
A26B1	POTEB
A26B2	POTEC
A26B3	POTED
A26C1A	POTEE
A26C1B	POTEF
A26C2	POTEG
A26C3	POTEH
A2LD1	GGACT
A2MP1	PZP2P
A2MR	LRP1
A2MRAP	LRPAP1
A3GALT2P	A3GALT2
AA	TEAD1
AAC1	NAT1
AAC2	NAT2
AACP	NATP
AACSL	AACSP1
AACT	SERPINA3
AADACL1	NCEH1
AAED1	PRXL2C
AARS	AARS1
AARSL	AARS2
AARSP1	AARS1P1
AATK	LMTK1
AATK-AS1	PVALEF
ABC1	ABCA1
ABC2	ABCA2
ABC3	ABCA3
ABC50	ABCF1
ABC7	ABCB7
ABCA11	ABCA11P
ABCA3P1	ABCA16P
ABCB10P	ABCB10P1
ABCB10P2	ABCB10P1
ABCB2	TAP1
ABCB3	TAP2
ABCC7	CFTR
ABCF2-H2BE1	ABCF2-H2BK1
ABCR	ABCA4
ABHD11-AS1	BICDL3P
ABHD17AP2	ABHD17AP1
ABHD7	EPHX4
ABHD9	EPHX3
ABI1P	ABI1P1
ABL	ABL1
ABLIM	ABLIM1
ABLL	ABL2
ABP	AOC1
ABP1	AOC1
ACAC	ACACA
ACAS2	ACSS2
ACAS2L	ACSS1
ACAT	ACAT1
ACATN	SLC33A1
ACBP	CPN2
ACC	ACACA
ACCN	ASIC2
ACCN1	ASIC2
ACCN2	ASIC1
ACCN3	ASIC3
ACCN4	ASIC4
ACCN5	ASIC5
ACCPN	SLC12A6
ACDC	ADIPOQ
ACDP1	CNNM1
ACDP2	CNNM2
ACDP3	CNNM3
ACDP4	CNNM4
ACH	FGFR3
ACHAP	CUTA
ACHM1	CNGB3
ACHM2	CNGA3
ACHM3	CNGB3
ACHRD	CHRND
ACHRG	CHRNG
ACINUS	ACIN1
ACN9	SDHAF3
ACPL2	PXYLP1
ACPP	ACP3
ACPT	ACP4
ACRC	GCNA
ACS3	TWIST1
ACT1GP1	ACTG1P1
ACTA	ACTA1
ACTA3	ACTG2
ACTBL1	POTEH
ACTBL3	POTEKP
ACTBP13	ACTL11P
ACTC	ACTC1
ACTG	ACTG1
ACTGP1	ACTG1P1
ACTGP10	ACTG1P10
ACTGP2	ACTG1P2
ACTGP3	ACTG1P3
ACTGP4	ACTG1P4
ACTGP5	ACTBP12
ACTGP6	ACTG1P6
ACTGP7	ACTG1P7
ACTGP8	ACTG1P8
ACTGP9	ACTG1P9
ACTL1	ACTG1P10
ACTL2	ACTG1P2
ACTL3	ACTG2
ACTL6	ACTL6B
ACTN1-AS1	ACTN1-DT
ACVR2	ACVR2A
ACVRLK1	ACVRL1
ACVRLK2	ACVR1
ACVRLK3	BMPR1A
ACVRLK4	ACVR1B
ACY1L	CCDC102B
ACY1L2	PM20D2
AD1	APP
AD2	APOE
AD3	PSEN1
AD4	PSEN2
ADAL	MAPDA
ADAM1	ADAM1A
ADAM21P	ADAM21P1
ADAM5P	ADAM5
ADAMTS21	ADAMTS18
ADAMTS7P2	ADAMTS7P1
ADC	AZIN2
ADCK3	COQ8A
ADCK4	COQ8B
ADCP2	DPP4
ADDL	ADD3
ADFP	PLIN2
ADGRF2	ADGRF2P
ADH1	ADH1A
ADH2	ADH1B
ADH3	ADH1C
ADH5B	ADH5P4
ADIR	TOR3A
ADL	SGCA
ADMLX	ANOS1
ADMLY	ANOS2P
ADMR	ACKR5
ADORA2	ADORA2A
ADORA2BP	ADORA2BP1
ADPN	PNPLA3
ADPRHL2	ADPRS
ADPRT	PARP1
ADPRTL1	PARP4
ADPRTL1P	PARP4P1
ADPRTL2	PARP2
ADPRTL3	PARP3
ADPRTL4	PARP4P3
ADPRTP1	PARP1P1
ADPRTP2	PARP1P2
ADRA1C	ADRA1A
ADRA2	ADRA2A
ADRA2L1	ADRA2B
ADRA2L2	ADRA2C
ADRA2R	ADRA2A
ADRA2RL1	ADRA2B
ADRA2RL2	ADRA2C
ADRB1R	ADRB1
ADRB2R	ADRB2
ADRB2RL1	HTR1A
ADRBK1	GRK2
ADRBK2	GRK3
ADRBRL1	HTR1A
ADSS	ADSS2
ADSSL1	ADSS1
ADTAA	AP2A1
ADTAB	AP2A2
ADTB1	AP1B1
ADTB1L1	AP1B1P1
ADTB1L2	AP1B1P2
ADTB2	AP2B1
ADTG	AP1G1
ADXP1	FDX1P1
ADXR	FDXR
AE1	SLC4A1
AE2	SLC4A2
AEGL1	CRISP1
AEMK	KCNA1
AEPLC	BACE2
AES	TLE5
AEZ	SLC39A4
AFAP1-AS	AFAP1-AS1
AFAP1AS	AFAP1-AS1
AFCP	CAPG
AFDN-AS1	AFDN-DT
AFG3	AFG3L1P
AFG3L1	AFG3L1P
AFG3L2P	AFG3L2P1
AGAP10	AGAP10P
AGAP14	AGAP14P
AGAP7	AGAP7P
AGAP8	AGAP4
AGC1	ACAN
AGMX1	BTK
AGPAT6	GPAT4
AGPAT7	LPCAT4
AGPAT9	GPAT3
AGPHD1	HYKK
AGRIN	AGRN
AGS	JAG1
AGS1	TREX1
AGS2	RNASEH2B
AGTBP	NLN
AGTIL	ASIP
AGTR1B	AGTR1
AGTRL1	APLNR
AGXT2L1	ETNPPL
AGXT2L2	PHYKPL
AHC	NR0B1
AHCTF1P	AHCTF1P1
AHDS	SLC16A2
AHH	AHRR
AHHR	AHRR
AHSA2	AHSA2P
AIED	CACNA1F
AIH1	AMELX
AIH2	ENAM
AIM1	CRYBG1
AIM1L	CRYBG2
AK3L2	AK4P3
AK3P1	AK4P1
AKAP16B	AKAP17BP
AKAP16BP	AKAP17BP
AKD1	AK9
AKD2	AK9
AKR1B11	AKR1B10
AKR1B1P	AKR1B1P5
AKR1C8P	AKR1C8
AKR1CL1	AKR1C8
AKR1CL2	AKR1E2
AKR1D1P	AKR1D1P1
AKRDC1	AKR1E2
AKU	HGD
ALAS	ALAS1
ALAS3	ALAS1
ALD	ABCD1
ALDH1	ALDH1A1
ALDH10	ALDH3A2
ALDH3	ALDH3A1
ALDH5	ALDH1B1
ALDH6	ALDH1A3
ALDH8	ALDH3B2
ALDH9	ALDH9A1
ALDL1	ABCD2
ALDR1	AKR1B1
ALDRL1	AKR1B1P1
ALDRL3	AKR1B1P3
ALDRL4	AKR1B1P4
ALDRL6	MIOX
ALDRP	AKR1B1P2
ALG14-AS1	CNN3-DT
ALG1L	ALG1L1P
ALKBH	ALKBH1
ALMS1L	ALMS1P1
ALMS1P	ALMS1P1
ALOX12-AS1	MIR497HG
ALOX12P	ALOX12P1
ALOX15P	ALOX15P1
ALPPL2	ALPG
ALS	SOD1
ALS1	SOD1
ALS2CR1	NIF3L1
ALS2CR10	CFLAR-AS1
ALS2CR11	CATSPERT
ALS2CR12	FLACC1
ALS2CR13	FAM117B
ALS2CR14	ICA1L
ALS2CR15	ICA1L
ALS2CR16	NBEAL1
ALS2CR17	NBEAL1
ALS2CR18	RAPH1
ALS2CR19	PARD3B
ALS2CR2	STRADB
ALS2CR3	TRAK2
ALS2CR4	TMEM237
ALS2CR6	ALS2
ALS2CR7	CDK15
ALS2CR8	CARF
ALS2CR9	RAPH1
ALS4	SETX
