method_id,setting_id,run_status,n_rows,n_gold,n_recovered_at_10,recall_at_10,recall_at_10_ci_low,recall_at_10_ci_high,precision_at_10,hypergeom_p_at_10,hypergeom_fdr_at_10,n_recovered_at_20,recall_at_20,recall_at_20_ci_low,recall_at_20_ci_high,precision_at_20,hypergeom_p_at_20,hypergeom_fdr_at_20,n_recovered_at_50,recall_at_50,recall_at_50_ci_low,recall_at_50_ci_high,precision_at_50,hypergeom_p_at_50,hypergeom_fdr_at_50,n_recovered_at_100,recall_at_100,recall_at_100_ci_low,recall_at_100_ci_high,precision_at_100,hypergeom_p_at_100,hypergeom_fdr_at_100,direction_recall_at_10,direction_recall_at_20,direction_recall_at_50,direction_recall_at_100,recovered_at_100,direction_recovered_at_100,direction_mismatched_at_100,missing_at_100,top10,failure_mode
degora_deg_score,v1_2_source_unit_mean,ok,14239,46.0,7.0,0.15217391304347827,0.06344429812504679,0.2886910040600492,0.7,2.712203051348478e-16,4.649490945168819e-16,16.0,0.34782608695652173,0.21354355425150534,0.5024900506729632,0.8,3.5216044431852503e-38,4.2259253318223e-37,25.0,0.5434782608695652,0.3901337119290153,0.6910205510946431,0.5,1.9531264759935384e-52,1.171875885596123e-51,34.0,0.7391304347826086,0.5886811523956144,0.8573314631117693,0.34,3.9758970974827255e-66,4.771076516979271e-65,0.15217391304347827,0.34782608695652173,0.5434782608695652,0.7391304347826086,ASNS;ATF3;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DERL3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;ERO1B;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;VEGFA;WIPI1,ASNS;ATF3;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DERL3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;ERO1B;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;VEGFA;WIPI1,,ATF4;ATF6;DDIT4;EIF2AK3;ERO1A;PDIA5;PHGDH;SLC1A4;SLC7A5;STC2;WFS1;XBP1,DDIT3;HSPA5;TRIB3;HERPUD1;SLC6A9;CCPG1;DNAJB9;SEL1L;CTH;SLC3A2,
degora_quality_weighted_score,quality_weighted_secondary,ok,14239,46.0,8.0,0.17391304347826086,0.078203423806353,0.3141906500754964,0.8,2.7939322122567453e-19,1.6763593273540472e-18,15.0,0.32608695652173914,0.19532543667389424,0.48017204063753477,0.75,5.158947948843445e-35,3.095368769306067e-34,25.0,0.5434782608695652,0.3901337119290153,0.6910205510946431,0.5,1.9531264759935384e-52,1.171875885596123e-51,33.0,0.717391304347826,0.5653959222162207,0.8401332980747059,0.33,2.1929963529882205e-63,1.3157978117929323e-62,0.17391304347826086,0.32608695652173914,0.5434782608695652,0.717391304347826,ASNS;ATF3;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DERL3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;ERO1B;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;WIPI1,ASNS;ATF3;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DERL3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;ERO1B;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;WIPI1,,ATF4;ATF6;DDIT4;EIF2AK3;ERO1A;PDIA5;PHGDH;SLC1A4;SLC7A5;STC2;VEGFA;WFS1;XBP1,DDIT3;HSPA5;HERPUD1;HYOU1;TRIB3;PDIA4;SEL1L;SLC6A9;MANF;CCPG1,
degora_slice,locked,ok,14239,46.0,7.0,0.15217391304347827,0.06344429812504679,0.2886910040600492,0.7,2.712203051348478e-16,4.649490945168819e-16,10.0,0.21739130434782608,0.10948170016881922,0.3636243586153968,0.5,7.82003193704102e-21,1.3405769034927462e-20,23.0,0.5,0.34903815242370423,0.6509618475762958,0.46,6.624528065670858e-47,1.5898867357610057e-46,31.0,0.6739130434782609,0.5198279593624651,0.8046745633261058,0.31,4.691799547150346e-58,1.1260318913160829e-57,0.15217391304347827,0.21739130434782608,0.5,0.6739130434782609,ASNS;ATF4;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;WIPI1,ASNS;ATF4;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;WIPI1,,ATF3;ATF6;DDIT4;DERL3;EIF2AK3;ERO1A;ERO1B;PDIA5;PHGDH;SLC1A4;SLC7A5;STC2;VEGFA;WFS1;XBP1,TRIB3;DDIT3;SEL1L;SLC3A2;CEBPB;NFE2L1;ASNS;PCK2;CTH;HSPA5,
weighted_stouffer,default,ok,14239,46.0,7.0,0.15217391304347827,0.06344429812504679,0.2886910040600492,0.7,2.712203051348478e-16,4.649490945168819e-16,10.0,0.21739130434782608,0.10948170016881922,0.3636243586153968,0.5,7.82003193704102e-21,1.3405769034927462e-20,23.0,0.5,0.34903815242370423,0.6509618475762958,0.46,6.624528065670858e-47,1.5898867357610057e-46,31.0,0.6739130434782609,0.5198279593624651,0.8046745633261058,0.31,4.691799547150346e-58,1.1260318913160829e-57,0.15217391304347827,0.21739130434782608,0.5,0.6739130434782609,ASNS;ATF4;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;WIPI1,ASNS;ATF4;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;WIPI1,,ATF3;ATF6;DDIT4;DERL3;EIF2AK3;ERO1A;ERO1B;PDIA5;PHGDH;SLC1A4;SLC7A5;STC2;VEGFA;WFS1;XBP1,TRIB3;DDIT3;SEL1L;SLC3A2;CEBPB;NFE2L1;ASNS;PCK2;CTH;HSPA5,
unweighted_stouffer,default,ok,14239,46.0,7.0,0.15217391304347827,0.06344429812504679,0.2886910040600492,0.7,2.712203051348478e-16,4.649490945168819e-16,12.0,0.2608695652173913,0.14266853688823067,0.41131884760438564,0.6,3.336242749438677e-26,8.006982598652825e-26,23.0,0.5,0.34903815242370423,0.6509618475762958,0.46,6.624528065670858e-47,1.5898867357610057e-46,31.0,0.6739130434782609,0.5198279593624651,0.8046745633261058,0.31,4.691799547150346e-58,1.1260318913160829e-57,0.15217391304347827,0.2608695652173913,0.5,0.6739130434782609,ASNS;ATF4;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;WIPI1,ASNS;ATF4;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA6;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC3A2;SLC7A11;TRIB3;WIPI1,,ATF3;ATF6;DDIT4;DERL3;EIF2AK3;ERO1A;ERO1B;PDIA5;PHGDH;SLC1A4;SLC7A5;STC2;VEGFA;WFS1;XBP1,TRIB3;DDIT3;SEL1L;SLC3A2;HSPA5;PCK2;ASNS;NFE2L1;CEBPB;CTH,
fisher,default,ok,14239,46.0,6.0,0.13043478260869565,0.049407346573708835,0.26256501618754907,0.6,1.6847472518251032e-13,1.8379060929001125e-13,9.0,0.1956521739130435,0.0935757344214124,0.33914759951099976,0.45,2.7266337840396623e-18,2.9745095825887223e-18,21.0,0.45652173913043476,0.30897944890535695,0.6098662880709846,0.42,1.3812729883020257e-41,1.6575275859624309e-41,28.0,0.6086956521739131,0.4537413794124602,0.7491205884392372,0.28,2.036346654561436e-50,2.2214690777033844e-50,0.13043478260869565,0.1956521739130435,0.45652173913043476,0.6086956521739131,ASNS;ATF4;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PSAT1;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;SLC7A5;TRIB3;WIPI1,ASNS;ATF4;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PSAT1;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;SLC7A5;TRIB3;WIPI1,,ATF3;ATF6;CALR;CANX;DDIT4;DERL3;EIF2AK3;ERO1A;ERO1B;HSP90B1;PDIA5;PDIA6;PHGDH;PPP1R15A;STC2;VEGFA;WFS1;XBP1,TRIB3;CEBPB;NFE2L1;ASNS;CTH;DDIT3;SEL1L;SLC3A2;PCK2;SLC38A2,
rank_product_approx,default,ok,14239,46.0,9.0,0.1956521739130435,0.0935757344214124,0.33914759951099976,0.9,1.6618741997215192e-22,1.994249039665823e-21,13.0,0.2826086956521739,0.15986670192529365,0.43460407778377913,0.65,4.9191230168892033e-29,1.475736905066761e-28,21.0,0.45652173913043476,0.30897944890535695,0.6098662880709846,0.42,1.3812729883020257e-41,1.6575275859624309e-41,29.0,0.6304347826086957,0.47548451740916287,0.767934281200057,0.29,6.442064015104355e-53,1.288412803020871e-52,0.1956521739130435,0.2826086956521739,0.45652173913043476,0.6304347826086957,ASNS;ATF4;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DERL3;DNAJB11;DNAJB9;DNAJC3;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PPP1R15A;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;TRIB3;WIPI1,ASNS;ATF4;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DERL3;DNAJB11;DNAJB9;DNAJC3;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PPP1R15A;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;TRIB3;WIPI1,,ATF3;ATF6;DDIT4;EDEM1;EIF2AK3;ERN1;ERO1A;ERO1B;PDIA5;PDIA6;PHGDH;PSAT1;SLC7A5;STC2;VEGFA;WFS1;XBP1,HSPA5;TRIB3;CPB2;SLC3A2;HERPUD1;CALR;HSP90B1;PDIA4;SEL1L;DNAJB11,
sign_vote,default,ok,14239,46.0,0.0,0.0,0.0,0.0770618270515607,0.0,1.0,1.0,0.0,0.0,0.0,0.0770618270515607,0.0,1.0,1.0,0.0,0.0,0.0,0.0770618270515607,0.0,1.0,1.0,0.0,0.0,0.0,0.0770618270515607,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,ASNS;ATF3;ATF4;ATF6;CALR;CANX;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DDIT4;DERL3;DNAJB11;DNAJB9;DNAJC3;EDEM1;EIF2AK3;ERN1;ERO1A;ERO1B;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PDIA5;PDIA6;PHGDH;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;SLC7A5;STC2;TRIB3;VEGFA;WFS1;WIPI1;XBP1,AACS;AAK1;AAR2;ABCA3;ABCA5;ABCB7;ABCD3;ABHD11;ABHD17B;ABHD2,
metavolcanor,default,ok,14239,46.0,6.0,0.13043478260869565,0.049407346573708835,0.26256501618754907,0.6,1.6847472518251032e-13,1.8379060929001125e-13,9.0,0.1956521739130435,0.0935757344214124,0.33914759951099976,0.45,2.7266337840396623e-18,2.9745095825887223e-18,21.0,0.45652173913043476,0.30897944890535695,0.6098662880709846,0.42,1.3812729883020257e-41,1.6575275859624309e-41,28.0,0.6086956521739131,0.4537413794124602,0.7491205884392372,0.28,2.036346654561436e-50,2.2214690777033844e-50,0.13043478260869565,0.1956521739130435,0.45652173913043476,0.6086956521739131,ASNS;ATF4;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PSAT1;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;SLC7A5;TRIB3;WIPI1,ASNS;ATF4;CEBPB;CEBPG;CHAC1;CRELD2;DDIT3;DNAJB11;DNAJB9;DNAJC3;EDEM1;ERN1;HERPUD1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PSAT1;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;SLC7A5;TRIB3;WIPI1,,ATF3;ATF6;CALR;CANX;DDIT4;DERL3;EIF2AK3;ERO1A;ERO1B;HSP90B1;PDIA5;PDIA6;PHGDH;PPP1R15A;STC2;VEGFA;WFS1;XBP1,TRIB3;CEBPB;NFE2L1;ASNS;CTH;DDIT3;SEL1L;SLC3A2;PCK2;SLC38A2,
robustrankaggreg,default,ok,14239,46.0,7.0,0.15217391304347827,0.06344429812504679,0.2886910040600492,0.7,2.712203051348478e-16,4.649490945168819e-16,14.0,0.30434782608695654,0.17742681529591053,0.4575486514301316,0.7,5.719626836570012e-32,2.2878507346280047e-31,22.0,0.4782608695652174,0.3288786869273402,0.6305435264300557,0.44,3.2126500878810123e-44,6.425300175762025e-44,28.0,0.6086956521739131,0.4537413794124602,0.7491205884392372,0.28,2.036346654561436e-50,2.2214690777033844e-50,0.15217391304347827,0.30434782608695654,0.4782608695652174,0.6086956521739131,ASNS;ATF4;CALR;CANX;CHAC1;CRELD2;DDIT3;DERL3;DNAJB11;DNAJB9;DNAJC3;ERO1B;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;TRIB3,ASNS;ATF4;CALR;CANX;CHAC1;CRELD2;DDIT3;DERL3;DNAJB11;DNAJB9;DNAJC3;ERO1B;HERPUD1;HSP90B1;HSPA5;HYOU1;MANF;MTHFD2;PDIA4;PPP1R15A;PSAT1;SDF2L1;SEL1L;SERP1;SLC1A4;SLC3A2;SLC7A11;TRIB3,,ATF3;ATF6;CEBPB;CEBPG;DDIT4;EDEM1;EIF2AK3;ERN1;ERO1A;PDIA5;PDIA6;PHGDH;SLC7A5;STC2;VEGFA;WFS1;WIPI1;XBP1,HSPA5;CALR;HERPUD1;HYOU1;SLC33A1;FDFT1;PDIA4;CRELD2;TTC17;HSP90B1,
