source_unit_id	source_input_type	assay_type	pipeline	n_genes	n_pairwise_comparisons	median_pairwise_lfc_spearman	min_pairwise_lfc_spearman	median_pairwise_sign_agreement	source_quality_weight	source_quality_label	source_coherence_weight	source_recommended_weight	source_reliability_weight	source_reliability_label	source_outlier_flag	recommended_role
Bauer_2022_IJMS			DESeq2	13201	16	0.18262754804882775	-0.09914956121624624	0.5603560275435491	0.65	medium	1.0	0.65	0.6500000000000001	medium	False	primary
Bentley_2021_DIB			STAR_HTSeq_DESeq2_LRT	19867	16	0.18657359886034802	-0.14926736193061213	0.5663435925913589	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE108676			Cuffdiff_NCBI_ESummary_mapped	26023	16	0.16478437766749376	-0.12112545856205696	0.5448716832152789	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE132624			edgeR_QLF	14696	16	0.23102441713446403	-0.05046936596233185	0.5820676690463491	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE160491			DESeq2	16730	16	-0.04192324193962679	-0.13082736220410265	0.4794509997097022	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE22282_MDC_HYPOXIA	normalized_expression_matrix	microarray	welch_microarray_normalized_matrix	21750	16	0.09251708735752803	-0.05481146095622743	0.5374212518073356	0.35	low	1.0	0.35	0.3833566551716294	low	False	sensitivity
GSE225253			DESeq2	22840	16	0.2702637295883076	-0.13918872921277434	0.5968225236952897	0.65	medium	1.0	0.65	0.6500000000000001	medium	False	primary
GSE255352			DESeq2	15681	16	0.23309291101189963	-0.08010217082594343	0.5946940167563624	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE283446			DESeq2	15551	16	0.20706169145519498	-0.03770738505903856	0.5790193669445245	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE293238			DESeq2	27782	16	0.22190193015470233	-0.12085072155557104	0.5834802160497772	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE3045_ASTROCYTE_HYPOXIA	normalized_expression_matrix	microarray	welch_microarray_normalized_matrix	21750	16	0.1130455860087538	-0.05262222096652192	0.5398517451953893	0.35	low	1.0	0.35	0.3833566551716294	low	False	sensitivity
GSE311800			edgeR	21335	16	0.1481512827601135	-0.09440536545739546	0.5512504116918318	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE313740			GEO_processed_contrast_unspecified	13189	16	-0.08574133785000165	-0.2702307321902072	0.4752493944036587	0.65	medium	1.0	0.65	0.6500000000000001	medium	False	primary
GSE70544			Cuffdiff	32200	16	0.2235044468466082	-0.09138050487405988	0.5374882125932442	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE76743			DESeq2	18835	16	0.23941437719219066	-0.2702307321902072	0.578021530084232	0.65	medium	1.0	0.65	0.65	medium	False	primary
GSE89831_TFEA			DESeq2	17527	16	0.24736745843616337	-0.12573231651421815	0.5714176349973827	0.65	medium	1.0	0.65	0.6500000000000001	medium	False	primary
Kindrick_2026_CommBio			DESeq2	15474	16	0.17376208973269885	-0.09169798544003006	0.5604468496159659	0.65	medium	1.0	0.65	0.6500000000000001	medium	False	primary
