author_ifnb_padj_rank	gene_symbol	author_ifnb_log2fc	author_ifnb_padj	author_ifnb_significant_padj05	piper_rank	piper_score	top_percent_label	support_label	direction_label
1	IFIT3	7.69037035529754	0.0	True	6	85.64205	top 0.029%	2 / 2 source units	100.0% up-concordant
2	GBP1	4.86999645694447	9.17680428790213e-247	True	10	84.650587	top 0.049%	2 / 2 source units	100.0% up-concordant
3	IFIT2	7.33812323058278	1.10102837517867e-216	True	29	83.241291	top 0.142%	2 / 2 source units	100.0% up-concordant
4	HELZ2	4.03512104737081	9.56041626130704e-209	True	16	84.259124	top 0.078%	2 / 2 source units	100.0% up-concordant
5	IFIT1	7.50718538561329	5.09985245013176e-170	True	4	85.850189	top 0.020%	2 / 2 source units	100.0% up-concordant
6	TRIM21	2.71691871666537	2.31285045756623e-163	True	13	84.401021	top 0.064%	2 / 2 source units	100.0% up-concordant
8	MX1	6.70255489059063	5.83748383830983e-152	True	2	86.416213	top 0.0098%	2 / 2 source units	100.0% up-concordant
9	IFIH1	4.64481075674723	5.62094384486661e-150	True	8	84.998223	top 0.039%	2 / 2 source units	100.0% up-concordant
10	XAF1	6.20063065811252	3.2743784136607e-116	True	28	83.269635	top 0.137%	2 / 2 source units	100.0% up-concordant
11	DTX3L	3.39073276702392	2.79821712903517e-113	True	24	83.457546	top 0.118%	2 / 2 source units	100.0% up-concordant
12	S100A8	-3.2567351853577	1.1521473710042e-111	True	104	76.017913	top 0.509%	2 / 2 source units	100.0% down-concordant
13	RHCG	-3.03884826111509	4.75795188639602e-103	True	291	68.315175	top 1.43%	2 / 2 source units	100.0% down-concordant
14	VEGFC	1.75527009245473	4.71978373640121e-99	True	214	70.499169	top 1.05%	2 / 2 source units	100.0% up-concordant
15	STAT2	2.09838169191613	1.19080806252056e-98	True	62	80.107788	top 0.304%	2 / 2 source units	100.0% up-concordant
16	PML	1.97201758816481	3.24074388544508e-92	True	46	81.316401	top 0.225%	2 / 2 source units	100.0% up-concordant
17	PLEKHA4	4.41766324054319	1.63553773495896e-87	True	61	80.191452	top 0.299%	2 / 2 source units	100.0% up-concordant
18	DDX60L	4.70436261262354	1.3639640655431e-86	True	25	83.393649	top 0.122%	2 / 2 source units	100.0% up-concordant
19	INHBA	3.12885714216664	2.32730753008115e-86	True	80	78.135645	top 0.392%	2 / 2 source units	100.0% up-concordant
20	IRF9	2.13650042401451	5.17709274728802e-86	True	52	80.723169	top 0.255%	2 / 2 source units	100.0% up-concordant
21	SBSN	-3.42568134608143	1.82706779751469e-85	True	166	72.103692	top 0.813%	2 / 2 source units	95.5% down-concordant
22	SAMD9	3.28082694438466	1.70022892110339e-79	True	18	84.085694	top 0.088%	2 / 2 source units	100.0% up-concordant
23	BATF2	5.00972529279646	1.73921106176331e-72	True	26	83.306539	top 0.127%	2 / 2 source units	100.0% up-concordant
24	SPRR1A	-3.13152008483017	3.49600522773109e-69	True	186	71.552178	top 0.911%	2 / 2 source units	100.0% down-concordant
25	DUSP4	1.26009305400884	1.49298839962071e-67	True	822	63.350284	top 4.03%	2 / 2 source units	86.2% up-concordant
