piper_rank	rank_label	gene_symbol	piper_score	top_percent_label	support_label	direction_label	weighted_lfc	author_ifnb_log2fc	author_ifnb_padj	author_ifnb_padj_rank	author_ifnb_significant_padj05	author_ifnb_direction
1	#1 / 20,416	CMPK2	86.526848	top 0.0049%	2 / 2 source units	100.0% up-concordant	6.174743348938709	5.70131445187697	1.0	12050	False	up
2	#2 / 20,416	MX1	86.416213	top 0.0098%	2 / 2 source units	100.0% up-concordant	7.326935721630493	6.70255489059063	5.83748383830983e-152	8	True	up
3	#3 / 20,416	TAP1	86.271018	top 0.015%	2 / 2 source units	100.0% up-concordant	4.132811142310114	3.29295860436192	2.47856091182151e-60	30	True	up
4	#4 / 20,416	IFIT1	85.850189	top 0.020%	2 / 2 source units	100.0% up-concordant	7.351018129403976	7.50718538561329	5.09985245013176e-170	5	True	up
5	#5 / 20,416	RSAD2	85.849916	top 0.024%	2 / 2 source units	100.0% up-concordant	6.773955725283712	5.91292141819613	1.0	12049	False	up
6	#6 / 20,416	IFIT3	85.64205	top 0.029%	2 / 2 source units	100.0% up-concordant	6.732939397559504	7.69037035529754	0.0	1	True	up
7	#7 / 20,416	OASL	85.122314	top 0.034%	2 / 2 source units	100.0% up-concordant	5.447275837010329	5.66447205147698	1.0	12051	False	up
8	#8 / 20,416	IFIH1	84.998223	top 0.039%	2 / 2 source units	100.0% up-concordant	5.317605933033606	4.64481075674723	5.62094384486661e-150	9	True	up
9	#9 / 20,416	OAS1	84.947162	top 0.044%	2 / 2 source units	100.0% up-concordant	4.954035750425756	4.25771268619875	1.0	12056	False	up
10	#10 / 20,416	GBP1	84.650587	top 0.049%	2 / 2 source units	100.0% up-concordant	4.538264113186232	4.86999645694447	9.17680428790213e-247	2	True	up
11	#11 / 20,416	OAS3	84.598249	top 0.054%	2 / 2 source units	100.0% up-concordant	4.915727511317136	3.62809320326427	1.74591419765941e-60	29	True	up
12	#12 / 20,416	APOL6	84.474149	top 0.059%	2 / 2 source units	100.0% up-concordant	4.147616745680307	4.01344504111209	3.49247567335134e-64	26	True	up
13	#13 / 20,416	TRIM21	84.401021	top 0.064%	2 / 2 source units	100.0% up-concordant	2.9246500055436897	2.71691871666537	2.31285045756623e-163	6	True	up
14	#14 / 20,416	ISG15	84.268183	top 0.069%	2 / 2 source units	100.0% up-concordant	5.42092176427253	4.33123976528181	1.0	12054	False	up
15	#15 / 20,416	UBE2L6	84.259139	top 0.073%	2 / 2 source units	100.0% up-concordant	4.172779550482841	3.24007453105654	1.0	12072	False	up
16	#16 / 20,416	HELZ2	84.259124	top 0.078%	2 / 2 source units	100.0% up-concordant	4.144618939292147	4.03512104737081	9.56041626130704e-209	4	True	up
17	#17 / 20,416	IFI6	84.21175	top 0.083%	2 / 2 source units	100.0% up-concordant	6.48425224230818	4.14496062329399	1.0	12058	False	up
18	#18 / 20,416	SAMD9	84.085694	top 0.088%	2 / 2 source units	100.0% up-concordant	3.653050640991053	3.28082694438466	1.70022892110339e-79	22	True	up
19	#19 / 20,416	DDX60	83.596822	top 0.093%	2 / 2 source units	100.0% up-concordant	4.682331387957441	4.69091259802201	1.0	12053	False	up
20	#20 / 20,416	PARP14	83.571059	top 0.098%	2 / 2 source units	100.0% up-concordant	4.0227234306144	3.76959641158557	1.0	12065	False	up
21	#21 / 20,416	PLSCR1	83.563814	top 0.103%	2 / 2 source units	100.0% up-concordant	2.8919614936671745	2.8167156488071	7.77362008176406e-45	51	True	up
22	#22 / 20,416	NLRC5	83.540838	top 0.108%	2 / 2 source units	100.0% up-concordant	3.936386377690174	4.2024869790694	1.965665033836e-61	28	True	up
23	#23 / 20,416	MX2	83.475337	top 0.113%	2 / 2 source units	100.0% up-concordant	4.126101288296583	7.02134243154499	1.0	12047	False	up
24	#24 / 20,416	DTX3L	83.457546	top 0.118%	2 / 2 source units	100.0% up-concordant	3.4167182002047904	3.39073276702392	2.79821712903517e-113	11	True	up
25	#25 / 20,416	DDX60L	83.393649	top 0.122%	2 / 2 source units	100.0% up-concordant	4.259039877671239	4.70436261262354	1.3639640655431e-86	18	True	up
26	#26 / 20,416	BATF2	83.306539	top 0.127%	2 / 2 source units	100.0% up-concordant	4.242772125661377	5.00972529279646	1.73921106176331e-72	23	True	up
27	#27 / 20,416	OAS2	83.293807	top 0.132%	2 / 2 source units	100.0% up-concordant	4.8619318836286745	3.89122687508056	1.0	12063	False	up
28	#28 / 20,416	XAF1	83.269635	top 0.137%	2 / 2 source units	100.0% up-concordant	4.41428330232609	6.20063065811252	3.2743784136607e-116	10	True	up
29	#29 / 20,416	IFIT2	83.241291	top 0.142%	2 / 2 source units	100.0% up-concordant	6.463632671811755	7.33812323058278	1.10102837517867e-216	3	True	up
30	#30 / 20,416	USP18	83.197475	top 0.147%	2 / 2 source units	100.0% up-concordant	3.350987140854113	3.92573525823535	2.56117084247318e-58	33	True	up
31	#31 / 20,416	IFI44L	83.184383	top 0.152%	2 / 2 source units	100.0% up-concordant	4.950542409629382	4.3119674410389	1.0	12055	False	up
32	#32 / 20,416	STAT1	83.089135	top 0.157%	2 / 2 source units	100.0% up-concordant	3.0769353834588347	3.07250824879428	1.0	12074	False	up
33	#33 / 20,416	PARP9	82.929646	top 0.162%	2 / 2 source units	100.0% up-concordant	3.19089282216354	3.12718801959218	5.3142661585899e-58	34	True	up
34	#34 / 20,416	HERC5	82.891584	top 0.167%	2 / 2 source units	100.0% up-concordant	3.6023049505636613	3.10919439819085	1.0	12073	False	up
35	#35 / 20,416	SP110	82.55058	top 0.171%	2 / 2 source units	100.0% up-concordant	2.8721133935879384	2.32315642390414	1.37965039165114e-47	46	True	up
36	#36 / 20,416	IFITM1	82.422923	top 0.176%	2 / 2 source units	100.0% up-concordant	3.659277816864863	4.18165550168299	1.0	12057	False	up
37	#37 / 20,416	PARP12	82.195307	top 0.181%	2 / 2 source units	100.0% up-concordant	2.135254422258791	2.17189883412231	2.79689438780017e-19	154	True	up
38	#38 / 20,416	IFIT5	82.17292	top 0.186%	2 / 2 source units	100.0% up-concordant	2.8154552733989164	2.65352785036271	9.97874115886642e-47	47	True	up
39	#39 / 20,416	IFI44	82.163003	top 0.191%	2 / 2 source units	100.0% up-concordant	4.1323896396571485	5.05048525632716	1.0	12052	False	up
40	#40 / 20,416	IFI35	81.964653	top 0.196%	2 / 2 source units	100.0% up-concordant	3.174640352032257	3.68796373324676	1.0	12066	False	up
41	#41 / 20,416	EIF2AK2	81.785179	top 0.201%	2 / 2 source units	100.0% up-concordant	2.8465195882886336	2.84176513827413	6.5504660008736e-45	50	True	up
42	#42 / 20,416	TRIM25	81.761795	top 0.206%	2 / 2 source units	100.0% up-concordant	2.319300132020283	2.50651406435597	8.26589517390916e-58	35	True	up
43	#43 / 20,416	BST2	81.654689	top 0.211%	2 / 2 source units	100.0% up-concordant	3.7220149923401737	2.4829819891606	1.0	12084	False	up
44	#44 / 20,416	HERC6	81.45692	top 0.216%	2 / 2 source units	100.0% up-concordant	3.751097107202187	3.31424172724477	1.0	12071	False	up
45	#45 / 20,416	SAMHD1	81.358673	top 0.220%	2 / 2 source units	100.0% up-concordant	2.8414960104148577	3.81892494446019	7.94390533872427e-54	37	True	up
46	#46 / 20,416	PML	81.316401	top 0.225%	2 / 2 source units	100.0% up-concordant	2.273409494044744	1.97201758816481	3.24074388544508e-92	16	True	up
47	#47 / 20,416	TDRD7	81.233241	top 0.230%	2 / 2 source units	100.0% up-concordant	2.4464324844864427	3.15132399286152	9.2272417345475e-54	38	True	up
48	#48 / 20,416	IFI27	81.199906	top 0.235%	2 / 2 source units	100.0% up-concordant	2.973910129008614	2.71699342651986	1.0	12081	False	up
49	#49 / 20,416	EPSTI1	81.058202	top 0.240%	2 / 2 source units	100.0% up-concordant	3.532835964474345	3.85309454201349	1.0	12064	False	up
50	#50 / 20,416	IRF1	81.053704	top 0.245%	2 / 2 source units	100.0% up-concordant	2.3530948010284707	2.23857716089403	1.15462278968535e-21	129	True	up
