method_id,setting_id,run_status,n_rows,n_gold,n_recovered_at_10,recall_at_10,recall_at_10_ci_low,recall_at_10_ci_high,precision_at_10,hypergeom_p_at_10,hypergeom_fdr_at_10,n_recovered_at_20,recall_at_20,recall_at_20_ci_low,recall_at_20_ci_high,precision_at_20,hypergeom_p_at_20,hypergeom_fdr_at_20,n_recovered_at_50,recall_at_50,recall_at_50_ci_low,recall_at_50_ci_high,precision_at_50,hypergeom_p_at_50,hypergeom_fdr_at_50,n_recovered_at_100,recall_at_100,recall_at_100_ci_low,recall_at_100_ci_high,precision_at_100,hypergeom_p_at_100,hypergeom_fdr_at_100,direction_recall_at_10,direction_recall_at_20,direction_recall_at_50,direction_recall_at_100,recovered_at_100,direction_recovered_at_100,direction_mismatched_at_100,missing_at_100,top10,failure_mode
degora_deg_score,v1_2_source_unit_mean,ok,9860,28.0,8.0,0.2857142857142857,0.13223651257112512,0.4866683154489407,0.8,6.307803827066854e-20,4.100072487593455e-19,12.0,0.42857142857142855,0.2446239363021466,0.628206371387904,0.6,2.1625070125671938e-27,9.370863721124506e-27,23.0,0.8214285714285714,0.6310666505807967,0.9393570911808748,0.46,3.84432375953794e-51,2.498810443699661e-50,26.0,0.9285714285714286,0.7649652268254805,0.9912295032964729,0.26,1.5673116726718823e-51,2.26389463830383e-51,0.2857142857142857,0.42857142857142855,0.8214285714285714,0.9285714285714286,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,,DDX58;IRF7,RSAD2;CMPK2;MX1;TAP1;IFIT1;IFIT3;DDX60;OASL;IFIH1;OAS1,
degora_quality_weighted_score,quality_weighted_secondary,ok,9860,28.0,8.0,0.2857142857142857,0.13223651257112512,0.4866683154489407,0.8,6.307803827066854e-20,4.100072487593455e-19,12.0,0.42857142857142855,0.2446239363021466,0.628206371387904,0.6,2.1625070125671938e-27,9.370863721124506e-27,23.0,0.8214285714285714,0.6310666505807967,0.9393570911808748,0.46,3.84432375953794e-51,2.498810443699661e-50,26.0,0.9285714285714286,0.7649652268254805,0.9912295032964729,0.26,1.5673116726718823e-51,2.26389463830383e-51,0.2857142857142857,0.42857142857142855,0.8214285714285714,0.9285714285714286,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,,DDX58;IRF7,RSAD2;CMPK2;MX1;TAP1;IFIT1;IFIT3;DDX60;OASL;IFIH1;OAS1,
degora_slice,locked,ok,9860,28.0,5.0,0.17857142857142858,0.060642908819125145,0.3689333494192032,0.5,3.1613696948201106e-11,3.736164184787404e-11,10.0,0.35714285714285715,0.18640666000044526,0.5593496872537332,0.5,1.0008949071338057e-21,1.0843028160616227e-21,22.0,0.7857142857142857,0.5904689734941716,0.9170393876124199,0.44,5.161317170787152e-48,7.45523591335922e-48,26.0,0.9285714285714286,0.7649652268254805,0.9912295032964729,0.26,1.5673116726718823e-51,2.26389463830383e-51,0.17857142857142858,0.35714285714285715,0.7857142857142857,0.9285714285714286,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,,DDX58;IRF7,TAP1;CMPK2;RSAD2;MX1;TRIM21;DDX60;IFIT1;IFIT3;SAMD9;PLSCR1,
weighted_stouffer,default,ok,9860,28.0,5.0,0.17857142857142858,0.060642908819125145,0.3689333494192032,0.5,3.1613696948201106e-11,3.736164184787404e-11,10.0,0.35714285714285715,0.18640666000044526,0.5593496872537332,0.5,1.0008949071338057e-21,1.0843028160616227e-21,22.0,0.7857142857142857,0.5904689734941716,0.9170393876124199,0.44,5.161317170787152e-48,7.45523591335922e-48,26.0,0.9285714285714286,0.7649652268254805,0.9912295032964729,0.26,1.5673116726718823e-51,2.26389463830383e-51,0.17857142857142858,0.35714285714285715,0.7857142857142857,0.9285714285714286,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,,DDX58;IRF7,TAP1;CMPK2;RSAD2;MX1;TRIM21;DDX60;IFIT1;IFIT3;SAMD9;PLSCR1,
unweighted_stouffer,default,ok,9860,28.0,6.0,0.21428571428571427,0.08296061238758012,0.40953102650582834,0.6,6.161196550335396e-14,1.601911103087203e-13,10.0,0.35714285714285715,0.18640666000044526,0.5593496872537332,0.5,1.0008949071338057e-21,1.0843028160616227e-21,21.0,0.75,0.5512845484713916,0.8930920081707734,0.42,5.4849889202727166e-45,6.482259633049575e-45,26.0,0.9285714285714286,0.7649652268254805,0.9912295032964729,0.26,1.5673116726718823e-51,2.26389463830383e-51,0.21428571428571427,0.35714285714285715,0.75,0.9285714285714286,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,,DDX58;IRF7,TAP1;MX1;RSAD2;CMPK2;TRIM21;DDX60;IFIT1;SAMD9;HERC5;IFIT3,
fisher,default,ok,9860,28.0,5.0,0.17857142857142858,0.060642908819125145,0.3689333494192032,0.5,3.1613696948201106e-11,3.736164184787404e-11,11.0,0.39285714285714285,0.21504282916096096,0.594231793512454,0.55,1.6667259399103228e-24,3.095348174119171e-24,22.0,0.7857142857142857,0.5904689734941716,0.9170393876124199,0.44,5.161317170787152e-48,7.45523591335922e-48,26.0,0.9285714285714286,0.7649652268254805,0.9912295032964729,0.26,1.5673116726718823e-51,2.26389463830383e-51,0.17857142857142858,0.39285714285714285,0.7857142857142857,0.9285714285714286,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,,DDX58;IRF7,TAP1;CMPK2;RSAD2;MX1;TRIM21;DDX60;IFIT3;PLSCR1;IFIT1;SAMD9,
rank_product_approx,default,ok,9860,28.0,6.0,0.21428571428571427,0.08296061238758012,0.40953102650582834,0.6,6.161196550335396e-14,1.601911103087203e-13,12.0,0.42857142857142855,0.2446239363021466,0.628206371387904,0.6,2.1625070125671938e-27,9.370863721124506e-27,22.0,0.7857142857142857,0.5904689734941716,0.9170393876124199,0.44,5.161317170787152e-48,7.45523591335922e-48,25.0,0.8928571428571429,0.7177356042843568,0.977334909360941,0.25,1.7678616565043804e-48,2.089291048596086e-48,0.21428571428571427,0.42857142857142855,0.7857142857142857,0.8928571428571429,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,,DDX58;IRF7;ISG20,TAP1;MX1;CMPK2;TRIM21;RSAD2;IFIT1;APOL6;HERC5;IFIT3;GBP1,
sign_vote,default,ok,9860,28.0,0.0,0.0,0.0,0.12343611850026943,0.0,1.0,1.0,0.0,0.0,0.0,0.12343611850026943,0.0,1.0,1.0,0.0,0.0,0.0,0.12343611850026943,0.0,1.0,1.0,0.0,0.0,0.0,0.12343611850026943,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,BST2;CMPK2;DDX58;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF7;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,AADAT;AAK1;AARS2;AASDH;AASDHPPT;AATK;ABCB11;ABCB6;ABCB8;ABCC2,
metavolcanor,default,ok,9860,28.0,5.0,0.17857142857142858,0.060642908819125145,0.3689333494192032,0.5,3.1613696948201106e-11,3.736164184787404e-11,11.0,0.39285714285714285,0.21504282916096096,0.594231793512454,0.55,1.6667259399103228e-24,3.095348174119171e-24,22.0,0.7857142857142857,0.5904689734941716,0.9170393876124199,0.44,5.161317170787152e-48,7.45523591335922e-48,26.0,0.9285714285714286,0.7649652268254805,0.9912295032964729,0.26,1.5673116726718823e-51,2.26389463830383e-51,0.17857142857142858,0.39285714285714285,0.7857142857142857,0.9285714285714286,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,BST2;CMPK2;EIF2AK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;ISG20;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2;USP18,,DDX58;IRF7,TAP1;CMPK2;RSAD2;MX1;TRIM21;DDX60;IFIT3;PLSCR1;IFIT1;SAMD9,
robustrankaggreg,default,ok,9860,28.0,4.0,0.14285714285714285,0.04033563079739551,0.32665266931579534,0.4,1.0797667138787467e-08,1.1697472733686421e-08,10.0,0.35714285714285715,0.18640666000044526,0.5593496872537332,0.5,1.0008949071338057e-21,1.0843028160616227e-21,20.0,0.7142857142857143,0.5133316845510593,0.8677634874288749,0.4,4.705875613325994e-42,5.098031914436493e-42,23.0,0.8214285714285714,0.6310666505807967,0.9393570911808748,0.23,8.633413062919767e-43,9.352864151496415e-43,0.14285714285714285,0.35714285714285715,0.7142857142857143,0.8214285714285714,BST2;CMPK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2,BST2;CMPK2;HERC5;IFI27;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFITM1;IRF9;ISG15;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;STAT1;STAT2,,DDX58;EIF2AK2;IRF7;ISG20;USP18,TAP1;TRIM21;MAK;MT1M;TRIM69;HERC5;APOL6;CMPK2;IFIT1;MX1,
