rank	gene_symbol	locked_gold	interpretive_marker	known_or_locked_marker	expected_direction	consensus_direction	direction_match	n_source_units	sign_concordance	source_support_pass	piper_score	priority_score	evidence_reliability_score	direction_confidence_index	quality_weighted_piper_score	source_units	marker_role	validation_role	evidence_basis	source_url	notes
1	RSAD2	True	False	True	up	up	True	2.0	1.0	True	86.631052	80.60485	98.672294	0.948229	86.638166	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA					
2	CMPK2	False	True	True	up	up	True	2.0	1.0	True	86.51116	80.448988	98.657772	0.948392	86.514622	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA	antiviral_interferon_stimulated_gene	post_output_interpretive_only	MSigDB Hallmark IFN-alpha response lists CMPK2; PLOS Biology describes CMPK2 as a type-I IFN-induced ISG with antiviral restriction activity.	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_INTERFERON_ALPHA_RESPONSE.html;https://journals.plos.org/plosbiology/article?id=10.1371%2Fjournal.pbio.3002039	Interpretive annotation only; not part of the locked IFN gold panel.
3	MX1	True	False	True	up	up	True	2.0	1.0	True	86.483401	80.414248	98.65164	0.947579	86.479325	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA					
4	TAP1	False	True	True	up	up	True	2.0	1.0	True	86.270971	80.124196	98.7265	0.950314	86.269818	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA	interferon_antigen_processing	post_output_interpretive_only	MSigDB Hallmark IFN-alpha and IFN-gamma response sets list TAP1; TAP1 is part of MHC-I antigen peptide transport.	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_INTERFERON_ALPHA_RESPONSE.html;https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_INTERFERON_GAMMA_RESPONSE.html;https://www.uniprot.org/uniprotkb/Q03518/entry	Interpretive annotation only; not part of the locked IFN gold panel.
5	IFIT1	True	False	True	up	up	True	2.0	1.0	True	85.778641	79.417254	98.590177	0.944932	85.775834	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA					
6	IFIT3	True	False	True	up	up	True	2.0	1.0	True	85.616286	79.178675	98.554647	0.944721	85.623087	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA					
7	DDX60	False	False	False		up		2.0	1.0		85.554381	79.038858	98.616995	0.946153	85.531218	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA					
8	OASL	True	False	True	up	up	True	2.0	1.0	True	85.074747	78.423947	98.538894	0.943686	85.081233	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA					
9	IFIH1	True	False	True	up	up	True	2.0	1.0	True	84.925737	78.203616	98.539457	0.943372	84.919501	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA					
10	OAS1	True	False	True	up	up	True	2.0	1.0	True	84.884071	78.164444	98.546852	0.943559	84.886161	GSE147507_NHBE_IFNB;GSE221804_HUHWT_IFNA					
