rank_label	gene_symbol	evidence_tier	piper_score	priority_score	priority_top_percent	evidence_reliability_score	direction_confidence_index	loo_rank_stability_score	top_percent_label	support_label	direction_label	weighted_lfc	high_confidence
#1 / 20,416	CMPK2	D	86.526848	80.478049	0.004898	98.674384	0.948415	0.999584	top 0.0049%	2 / 2 source units	100.0% up-concordant	6.174743348938709	False
#2 / 20,416	MX1	D	86.416213	80.327938	0.009796	98.648551	0.94726	0.999755	top 0.0098%	2 / 2 source units	100.0% up-concordant	7.326935721630493	False
#3 / 20,416	TAP1	D	86.271018	80.128017	0.014694	98.727863	0.95031	0.999755	top 0.015%	2 / 2 source units	100.0% up-concordant	4.132811142310114	False
#4 / 20,416	IFIT1	D	85.850189	79.528496	0.019592	98.596973	0.945118	0.999927	top 0.020%	2 / 2 source units	100.0% up-concordant	7.351018129403976	False
#5 / 20,416	RSAD2	D	85.849916	79.514662	0.024491	98.597478	0.945531	0.99951	top 0.024%	2 / 2 source units	100.0% up-concordant	6.773955725283712	False
#6 / 20,416	IFIT3	D	85.64205	79.232258	0.029389	98.577491	0.944672	0.999608	top 0.029%	2 / 2 source units	100.0% up-concordant	6.732939397559504	False
#7 / 20,416	OASL	D	85.122314	78.510307	0.034287	98.555	0.943718	0.999706	top 0.034%	2 / 2 source units	100.0% up-concordant	5.447275837010329	False
#8 / 20,416	IFIH1	D	84.998223	78.330335	0.039185	98.551006	0.94345	0.999829	top 0.039%	2 / 2 source units	100.0% up-concordant	5.317605933033606	False
#9 / 20,416	OAS1	D	84.947162	78.270445	0.044083	98.557398	0.943671	0.999853	top 0.044%	2 / 2 source units	100.0% up-concordant	4.954035750425756	False
#10 / 20,416	GBP1	D	84.650587	77.860791	0.048981	98.536674	0.943201	0.99951	top 0.049%	2 / 2 source units	100.0% up-concordant	4.538264113186232	False
#11 / 20,416	OAS3	D	84.598249	77.78136	0.053879	98.518417	0.942364	0.999657	top 0.054%	2 / 2 source units	100.0% up-concordant	4.915727511317136	False
#12 / 20,416	APOL6	D	84.474149	77.622175	0.058777	98.546148	0.94331	0.99978	top 0.059%	2 / 2 source units	100.0% up-concordant	4.147616745680307	False
#13 / 20,416	TRIM21	D	84.401021	77.529974	0.063676	98.652223	0.947355	0.999804	top 0.064%	2 / 2 source units	100.0% up-concordant	2.9246500055436897	False
#14 / 20,416	ISG15	D	84.268183	77.307893	0.07837	98.471833	0.940422	0.999829	top 0.069%	2 / 2 source units	100.0% up-concordant	5.42092176427253	False
#15 / 20,416	UBE2L6	D	84.259139	77.311294	0.073472	98.522327	0.94249	0.999682	top 0.073%	2 / 2 source units	100.0% up-concordant	4.172779550482841	False
#16 / 20,416	HELZ2	D	84.259124	77.318442	0.068574	98.521866	0.942496	0.999657	top 0.078%	2 / 2 source units	100.0% up-concordant	4.144618939292147	False
#17 / 20,416	IFI6	D	84.21175	77.23925	0.083268	98.43737	0.93906	0.999878	top 0.083%	2 / 2 source units	100.0% up-concordant	6.48425224230818	False
#18 / 20,416	SAMD9	D	84.085694	77.037549	0.088166	98.549191	0.943588	0.999608	top 0.088%	2 / 2 source units	100.0% up-concordant	3.653050640991053	False
#19 / 20,416	DDX60	D	83.596822	76.130461	0.117555	98.481983	0.941109	0.99951	top 0.093%	2 / 2 source units	100.0% up-concordant	4.682331387957441	False
#20 / 20,416	PARP14	D	83.571059	76.336437	0.097962	98.460353	0.940259	0.999535	top 0.098%	2 / 2 source units	100.0% up-concordant	4.0227234306144	False
